제목,내용
비네이버,비네이버
정윤경 의원 군포 제일공원 풋살장바닥분수 조성 관련 논의,군포 제일공원 풋살장 바닥분수 중앙신문 존재하지 않는 이미지입니다 정윤경 경기도의회 문화체육관광위원회 부위원장 정윤경더민주 군포1도의원은 지난 27일 경기도의회 군포상담소에서 군포시청 생태공원녹지과 공원관리팀장 및 관계 공무원과 제일공원 미니 풋살장 및 바닥분수 조성 사업 예산확보에 관한 면담을 진행했다 이날 관계자들은 군포시 금정동에 위치한 제일공원에 주변 주택에 사는 어린이들이 자유롭게 다양한 놀이를 할 수 있는 인조잔디구장을 설치하여 어린이들의 체력단련과 화합을 다지는 장소로 널리 활용하고 또한 기 설치된 조형수경시설 장소에 바닥분수를 설치하여 한여름 공원을 이용하는 시민들에게 다양한 체험공간을 제공함으로써 구도심 내 생활기반 인프라 개선을 통한 도시 균형발전이 기대된다고 전했다 이에 정윤경 도의원은  httpwwwjoongangtvnewsarticleViewhtmlidxno36595 정윤경 의원 군포 제일공원 풋살장바닥분수 조성 관련 논의  중앙신문 경기도의회 문화체육관광위원회 부위원장 정윤경더민주 군포1도의원은 지난 27일 경기도의회 군포상담소에서 군포시청 생태공원녹지과 공원관리팀장 및 관계 공무원과 제일공원 미니 풋살장 및 바닥분수 조성  wwwjoongangtv
이천풋살장  장호원풋살장 이천 최고시설 풋살파크 랑풋살필드를 만나보세요  소셜매치 유소년아카데미,안녕하세요 이천풋살장 장호원풋살장 랑풋살필드입니다 랑 풋살필드 경기도 이천시 장호원읍 풍계리 210 랑 풋살필드 랑 풋살필드는 독특한 컬러의 2개 구장으로 만들어졌는데요 그럼 함께 보실까요 이천풋살장 랑풋살필드 풋살장추천 풋살장예약 차다풋볼 이천 장호원 No1 풋살장 랑풋살필드 먼저 앞서 소개해드린대로 랑풋살필드는 AB 두개의 구장으로 이루어져 있습니다 일단 사진과 표부터 보실까요 좌측 A구장  우측 B구장 구장 크기 이용금액 2h A구장 45m X 25m 평일 10만원  주말 11만원 B구장 42m X 24m 평일 9만원  주말 10만원 첫번째로 소개해드릴 랑풋살필드만의 장점은 바로 잔디 입니다 일단 두개의 구장 모두 코오롱의 55mm 최고급 인조잔디가 설치되어 있습니다 코오롱 최고급 인조잔디는 경기력인증을 받은 잔디로 정말 뛰기 좋은 구장 컨디션을 만들어 주고 있습니다  또한 핑크와 그레이컬러의 잔디는 하남스타필드에서도 보실 수 있는데요 나이키 엄브로 등 다양한 스포츠 브랜드에서도 광고촬영 행사진행을 하고 있답니다 사진출처  오버더피치 두번째로 소개해드릴 랑풋살필드의 장점은 바로 크기입니다 랑풋살필드는 AB 2개의 면 모두 넓은 크기를 자랑합니다 6vs6  7vs7까지 권장해드리며 이천은 물론 국내에서도 넓은 풋살장 크기를 자랑합니다 이렇게 넓은 공간이라면 아마추어 경기 뿐만 아니라 초중학생들의 유소년 축구수업을 하기에도 적격일것 같습니다 D 셋째 랑풋살필드는 카페 사무실 등 편의시설이 잘 갖추어져 있습니다 현재 랑풋살필드에서는 풋살장 옆 공간에 카페 오픈을 위한 공사가 진행중입니다 남자친구를 따라온 여자친구나 가족들이 풋살경기를 보기에도 좋고 미리 도착하신 분들께서 커피한잔 하면서 기다리기도 좋은 멋진 공간의 카페가 생길 예정입니다 많은 기대 부탁드립니다 랑풋살필드에서는 팀조끼 풋살공들을 대여해드리고 있습니다 추후 풋살화 대여도 진행할 예정인데요 카페 사무실 공간을 활용해서 이용객분들이 더 편하게 풋살장을 이용하실 수 있도록 좋은 환경을 만들어 나가겠습니다 넷째 소셜매치팀매칭 서비스 제공 랑풋살필드에서는 매일 용병매치가 진행됩니다 구장에서 자체적으로 진행하기도 하구요 퍼즐스포츠라는 업체에서 소셜매치를 진행하기도 합니다 퍼즐풋볼 기록형 축구 풋살 용병 매치 플랫폼 퍼즐풋볼은 영상촬영과 개인기록을 실시간 연동해주는 축구풋살 용병 모입입니다 지금 참여하고 즐겨보세요 pzfutballcom 축구를 하고 싶지만 팀이 없으신분 팀이 있으셔도 매일같이 축구를 하고 싶으신분 아래 카카오톡방을 방문해주세요  매일 열리는 매치에 참여하실 수 있습니다 RFF  랑풋살필드 장호원 이천 음성 진천 충주 여주 곤지암 광주 풋살 풋살리그 풋살대회 풋살장대관 고정대관환영 풋살장임대 openkakaocom 고정대관팀 유소년아카데미 모집 자 이렇게 오늘은 이천 장호원에 위치한 랑풋살필드에 대해 알아보았는데요 랑 풋살필드 경기도 이천시 장호원읍 풍계리 210 랑 풋살필드 랑풋살필드에서는 고정대관팀과 평일 낮시간대를 사용할 유소년 아카데미를 모집하고 있습니다 유소년 아카데미 입점시 사무실 창고 공간등을 사용하시는 것 또한 협의 가능합니다 최고의 시설에서 즐겁게 운동을 하고 싶으신분들은 모두 연락 주세요  풋살장 예약 문의는 아래로 부탁드립니다 01048267382 랑풋살필드 예약문의 CHADA Football Academy 차다는 전문 축구아카데미 서비스를 제공합니다 Exciting Game 차다는 풋살경기장 대관 서비스입니다 Maching Service 차다는 팀용병매칭 서비스를 제공합니다 Football Academy 차다는 전문 축구아카데미 서비스를 제공합니다 Exciting Game 차다는 풋살경기장 대관 서비스입니다 chadafootballcom 랑풋살필드 이천풋살장 장호원풋살장 소셜매치 퍼즐풋볼 아이엠그라운드 플랩풋볼 풋살장추천 풋살 풋살장예약 차다풋볼 이천축구 장호원축구 이천축구팀 장호원축구팀 경기도교육연수원 랑풋살 이천카페 장호원카페
구래에 김포 위치한 실내풋살장,비네이버
비네이버,비네이버
비네이버,비네이버
비네이버,비네이버
인조잔디 청소 송파 청소업체 올클린양재동 이마트 풋살장 청소 인조잔디 청소 카펫 청소 다녀왔습니다,안녕하세요 송파청소업체 올클린 입니다 오늘 포스팅은 이마트 양재점 옥상에 있는 인조잔디 카펫 청소 현장입니다 더운 날씨이긴 하지만 실내라서 크게 걱정하지 않고 갔는데 천장이 돔으로 되어있는 곳이었는데 열기가 후끈후끈 밖에 기온이 36도까지 올라갔는데도 밖으로 나갔을 때가 더 시원할 정도였네요 ㅠㅠ 이번 청소의 목적은 인조잔디의 오염제거였는데 대부분의 오염은 신발에 묻어있던 오염물이나 음료 쏟아진 자국들이었습니다 인조잔디 청소 장비는 크란즐라운드크리너 와 CICO2000N 을 챙겨갔는데 오염도 심하고 여러 군데 음료 쏟아진 곳의 얼룩들이 많이 있어서 약품 사용은 하지 않고 크란즐 라운드크리너UFO300 을 사용하여 청소를 진행하였습니다 인조잔디 청소 인조잔디카펫 청소 재생 0 좋아요 0 0000 0000  접기펴기 인조잔디카펫 청소 고압세척으로 작업할 경우에는 폐수가 많이 나오기 때문에 대용량 습식 청소기를 사용합니다 인조잔디 청소  카펫 청소 재생 0 좋아요 0 0000 0000  접기펴기 인조잔디 청소  카펫 청소 고압세척으로 작업을 하니 얼룩들이 사라지는 모습들이 보이네요 계속 같은 방법으로 작업을 합니다 위에서 언급한 대로 돔으로 된 천장이라 사우나에 들어가 있는 듯하여 230분 작업하다가 쉬고를 반복해가며 진행하였습니다 작업이 거의 끝나갈 때쯤이라 그런지 자세가 아주 열정적이네요 ㅎㅎㅎㅎ 인조잔디 청소 카펫 청소 재생 0 좋아요 0 0000 0000  접기펴기 인조잔디 청소 카펫 청소 오염이 심했다는 건 폐수를 보면 알 수 있네요 90L 통으로 5번 비운 것 같습니다  얼룩 없이 아주 깨끗해졌네요  카펫 청소 인조잔디카펫 청소 인조잔디청소 작업을 마치고 청소 후 사진을 찍으면서 비교해보니 정말 많이 깨끗해진 게 보이네요  오늘의 포스팅은 여기서 마치겠습니다 너무 덥습니다 항상 수분 보충 잘 하시고 건강부터 챙기세요  저희 청소업체 올클린은 충북 제천시와 송파구 두 곳에 사무실이 위치해 있습니다 청소작업이 가능한 지역은 충주 단양 원주 영월 진천 정선 등 인근 지역은 청소작업이 가능하며 경기도 광주성남송파강남강동하남남양주구리시도 청소작업이 가능합니다 저희 청소업체 올클린은 고객님께서 직접 하지 못하는 청소 시간 없어 못하는 청소 힘이 들어 못하는 청소 더러워서 못하는 청소 긴급하게 해야 하는 청소 야간에 해야 하는 청소 어떤 청소던지 맡겨만 주시면 최선을 다해 본래의 모습으로 돌려놓겠습니다 항상 양심을 속이지 않고 정성을 다하는 청소업체 올클린이 되겠습니다 0 1 0  5 1 1 7  1 8 6 4 20km  NAVER Corp 올클린 충청북도 제천시 칠성로11길 13 올클린 서울특별시 송파구 동남로26길 15 1층 101호
비네이버,비네이버
경기도구리 구리토평가족캠핑장 우중캠핑,지난 금요일 8월에 예약잡아둔 구리토평캠핑장을 향해 달려갔다 전날 확인한바로는 비가 온다고아니야 많이 안오겠지 하며 위로하며 향했다 가는길에 이미 비 한바가지 쏟음 ㅋㅋㅋㅋ 구리타워 바로 옆에 위치 남편이 쉬는날이라 미리 텐트와 타프를 치고 날 데리러오라고 했으나 그는 타프를 치지 못하는 똥손이었다ㅎ ㅏ 그냥 돌아왔어야했어 여기서라도 들어가는길  양쪽으로 풋살장 등이 있다 입구 너무 빨리들어가서 못찍음 ㅋㅋㅋ 구리토평가족캠핑장  캠핑장 사이트별 장소가 협소하여 카라반 트레일러 출입 통제 구리토평가족캠핑장 홈페이지  구리시민 우선예약  전월 1일  10일 오전 9시부터 온라인 예약 가능  단 1일이 토요일 일요일 공휴일인 경우 최초 도래하는 평일 0900시부터 예약이 가능 구리시 오토캠핑장 관리 및 운영 조례 제7조에 따라 다음달 분 예약시 이번달 1일10일까지는 구리시민 우선으로 다음달 분 예약이 가능합니다 타 지역시민은 상기 기간 중 예약을 하셔도 예약 당일 입장을 하실 수 없으니 유의하시기 바랍니다  타지역시민 예약  다음달 분 예약은 이번달 11일부터 온라인 예약 가능  다음달 분 예약시 이번달 11일 이후는 구리시민을 포함한 타지역 시민 누구든지 예약이 가능합니다  주의사항  구리시민 우선 예약기간매월 1일10일중 타지역민이 예약할 경우 입장이 절대 불가능합니다  예약자 기준 1인당 1박2일 1개 사이트만 예약할 수 있습니다  1개 사이트는 5인 기준이며 최대 6명추가비용발생까지 이용하실 수 있습니다  인터넷 예약시 하루 전 예약은 오후 5시 까지만 가능합니다  이용권 양도양수시 입장이 불가하며 향후 이용이 제한될 수 있습니다 구리토평가족캠핑장 구리토평가족캠핑장 campingguriucorkr 남편이 혼자들어가야하는데 내 이름으로 예약한거라 내 주민등록증을 쥐어줬다 들어갈때 확인했다고 하니 꼭 신분증 가져가기 우리사이트 앞 전경 우리는 B2였다 아마도 ㅎㅎㅎㅎ 우리사이트 옆에 B1집이 ㅠㅠ 텐트를 너무 크게쳐서 차대는곳에 차를 안대고 테이블이랑 이것저것 놨다 그래서 B3과 B2가 나가야할때 계속 차를 빼달라고 해야했다 너무 불편 그럴거면 안쪽에 자리잡으세요 ㅠㅠ 우리자리에서 화장실 세척장 샤워실 가려면 이쪽길로 쭉 앞에 보이는 건물이 세척장이다 오른쪽에 이지캠핑이 보인다 정말 부러웠다 건물들 다 깨끗하고 좋았다 화장실도 매우 깨끗  비둘기낭 메인건물 화장실만큼 깨끗했당 ㅎㅎ 연못이 있고 연잎들이 가득했다  우리 바로 앞 B4는 비어있었는데 B1아저씨가 그곳에 다시 차를 댔더니 B5에서 자기들한테 바람이 안온다며 차를 빼달라고했다 뭔지 참 비와서 나는 들어가있고 다시 타프치시는 그하지만 내가 없이는 칠 수 없었따  정말 귀엽고 순한 고양이 두마리가 있었다 덩치큼 ㅋㅋ 중성화완료 목소리한번 듣지 못했다 밥준다고 하면 따라옴 ㅎㅎㅎ 배가 많이 고팠나 원래 캠핑장 고양이는 고기많이먹어서 사료 별로 안먹는다는데 물에 젖은 사료까지도 싹 해치웠다 비 피하느라 대충 안에 의자펴놓고 앉아있는중 노스피크 파리바게트 사다리에 랜턴놓고 흑흑 타프대충치고 밥을 먹기위해 서둘러 꺼내는중 난 5시에 퇴근하고 6시안돼서 도착했는데 어느덧 7시반이었다 또 난민캠이다 ㅠ 한쪽에 벌레들 오라고 코카콜라랜턴과 전기모기채 아주 타닥타닥 벌레들이 죽어나갔다 미안하다 자연에 와서 그냥 즐겨야하는데 도저히 내 음식에 들어가는 너희들을 용납할 수 없었어 ㅠㅠ 올웨이즈에서 산 소고기 800그람을서둘러 구워 와구와구 엉망진창 캠핑 하하 선풍기 두개 가져가길 정말 잘했다 고기를 굽고 또 구워 매화수와 한점  2차는 떡볶이  남은 고기도 올려준다 나름 맛있어보이는구만 아주 밝은 알리익스프레스 보름달 랜턴과 옆에 낑겨놓은 큐텐에서 산 선풍기 ㅋㅋㅋ 직구천지  아침어찌어찌 아침이 되었다 술먹다가 비가 쳐들어와서 안으로 다 들고와 술을 마시고는 뻗어버렸다 다행히 화장실 가면서 씻고와서 정말 다행이었다 텐트 안은 물바다 발포매트가 그나마 물이 안들어와서 살았다 매트 밑은 물 천지 매화수 냄새도 함께 났다 ㅠㅠ 새벽부터 일어나서 다 치우고 8시가 되기전에 얼른 집으로아니 농수산물 시장으로 출발 쓰레기 버리는데 고양이가 있길래 아는척을 해봤다 따라오는 냥냥이  귀여워 ㅎㅎㅎ순둥이 밥을 한번 더 주고  차 빼주세요 ㅠㅠ 옆에 차ㅠ_ㅠ차 빼주셔서 얼른 쓰레기랑 싹 치우고 나왔다 농수산물시장가서 대하를 쪄왔다 그와중에ㅋㅋㅋㅋ 아침9시쯤 집 도착해서 대충 치우고 쉬다가 11시에 다시 맥주 한잔과 대하 와구와구 우중캠핑은 생각으로만감성으로만 이지바베큐 너무 부러워서 지금 들어가봤는데 다음달 다 매진이다 당연함 5개인가밖에 없음 다음달 올해의 마지막으로 캠핑 갈건데 꼭 성공적인 캠핑이길 바라본다 서울근교캠핑장 수도권캠핑장 구리토평가족캠핑장 구리시캠핑장 시립캠핑장 구리캠핑장 남양주캠핑장 서울캠핑장 캠핑장 국립캠핑장 초보캠핑 우중캠핑 캠핑장고양이
황새울공원풋살장,비네이버
능곡풋살장 축구아카데미 축구기본기 유소녀축구교실 능곡축구교실 축구레슨,AA축구교실 시흥플랑드르점 회원모집 안내 1AA축구교실 시흥플랑드르점 구장만의 차별점 시흥능곡역 4번출구와 바로 연결되어 있으며 시흥플랑드르 내 다양한    스포츠 시설과 영화관 마트 쇼핑몰 등을 한 곳에서 마주하실 수 있습니다    넓은 3층과 전경이 잘 보이는 5층 풋살장으로 이루어져 있으며 여름에    천장의 차광막 설치 겨울에는 옆면의 가림막 설치로 4계절 내내 신나게    축구 할 수 있습니다  시흥 플랑드르 풋살장 대관 안내  아이엠그라운드 어플에서 시흥플랑드르검색하세요    현재 여성축구반의 활성화와 유소녀반 개설 운영 중이며 성별을 불문하고     누구나 가입 가능합니다  2 신규입단 이벤트 선착순 50명  1회 체험수업 진행 이벤트 아이이름 나이  보호자 휴대폰 번호를 01026339641로 문자 주시면 스케줄 안내 후 접수 해드리겠습니다    ex 시흥플랑드르  아이이름 나이 보호자 휴대폰번호  체험수업 신청 이렇게 작성하여 01026339641로 문자주시면 순차적으로 상담하여 접수해드리겠습니다   3 입단문의 아래 사항 등록해주시면 담당 코치님이 순차적으로 연락드려요  네이버 AA축구교실 검색 상담신청 진행   문자문의  01026339641 아이이름 나이  보호자 휴대폰 번호를 01026339641로 문자 주시면 스케줄 안내 후 접수 해드리겠습니다  4 위치 안내  경기도 시흥시 장현능곡로 155 시흥플랑드르 4층 AA축구교실 시흥플랑드르  문자 문의  01026339641 아이이름 나이  보호자 휴대폰 번호를 01026339641로 문자 주시면 스케줄 안내 후 1회 무료체험 수업 접수 해드리겠습니다    시흥 플랑드르 풋살장 대관 안내  아이엠그라운드 어플에서 시흥 플랑드르검색하세요   시흥 플랑드르 풋살장 대관 안내  아이엠그라운드 어플에서 시흥 플랑드르검색하세요   이상 AA축구교실 시흥플랑드르 회원모집  대관 안내드렸습니다 아래의 문구는 당사의 내용과는 관련이 없습니다   그들은 기타를 친다 AAFC 종류 can must 시흥플랑드르 would will should 주니어유나이티드아카데미 would 인호황세자 아쿠아온 shall might may 등등형태 주어  조동사  동사예1 They play the guitar 조동사는 복잡한 다이나믹온 문법이 없는 대신 종류가 많으므로 암기하고 익숙해지는 것이 중요해요 오늘은 조동사에 대해서 배워보도록 하겠어요ｴ 조동사 설명 조동사는 동사의 기본 의미는 바꾸지 않으면서 동사에 추가적인 의미를 부여해주는 역할을 해요  그는 오늘 수업에 온다 예2 He comes to class today  그들은 기타를 칠 수 있어요 gt They can play the guitar  I can the piano  조동사의 성질1 동사를 도와주는 역할이므로 홀로 존재하지 못해요  그는 오늘 수업에 와야 해요 gt He must come to class today Xgt You can join the game  You can to join  joining  joins the game O2 조동사 다음에는 동사원형이 와야 해요 X gt I can play the piano 축약형4 조동사는 연속해서 사용할 수 없어요  I cant play the guitar  I cannot play the guitar O3 조동사의 부정형은 not으로 나타낸다 p가 함께 쓰인 형태의 조동사조동사 응용표현 조동사와 다른 단어들이 합쳐져서 만들어진 조동사조동사 중복 조동사 2개의 의미를 하나의 조동사로 표현할 때 쓰이는 조동사 1 기본조동사설명 각 조동사는 동사에 특정한 의미를 부여해요 p 조동사와 have p 기본조동사 can may should와 같은 기본 조동사조동사 have p  must can will can might can X 조동사 종류조동사는 종류가 다양한데 형태를 기준으로 나누면 크게 4가지로 나눌 수 있어요 2 Could 할 수 있어요  우리는 밤새 그 게임을 할 수 있어요 예 We can play the game all night 1 Can 할 수 있어요 할 거에요 예 He may come today  그는 하루 종일 그 게임을 할 수 있어요 3 May 일지도 몰라요 can과 같음예 He could play the game all day 할 거에요  그가 오늘 올지도 모르겠어요 may 봐요 약함예 He might come today 4 Might 일지도 몰라요  그는 오늘 올지도 몰라요 6 Shall 할 거에요 미래 행동에 대한 강한 의지 미래 추측예 She shall dance with me  그들은 공원으로 갈 거에요 미래 행동에 대한 의지 미래 추측예 They will go to the park 5 Will 할 거에요 현재의 소망예 When Jacob was young his father would visit his son 할 거에요 7 Would  과거에 하곤 했어요  그녀는 나와 춤을 출 거에요 충고 권유예 You should finish it by tomorrow 할 거에요 8 Should 하는 게 좋겠다  Jacob이 어렸을 때 그의 아버지는 그의 아들을 방문하곤 했어요 의무 명령예 You must be Rachel 임에 틀림없어요 9 Must 해야 해요  너는 이것을 내일까지 끝내는 것이 좋아요 p와 만나 새로운 의미의 표현을 만들어낼 수 있어요 p설명 조동사가 have p 2 조동사 have p  당신은 Rachel임이 틀림없어요  나는 소방관이 됐어야 했어요 2 could have p p 했었어야 했어요 과거의 의무예 I should have become a firefighter 1 should have p 3 would have p p 했었을 거에요 과거의 의도 계획예 The trees would have lost their leaves  그는 너를 도왔을 수도 있었을 거에요 p 했었을 수도 있었어요 과거의 가능성 능력예 He could have helped you p 틀림없이 했었을 거에요 과거의 확실한 추측예 They must have stolen the money  그들이 돈을 훔쳤음에 틀림없어요 4 must have p  그 나무들은 잎을 잃었을 거에요  Jack은 그 기회를 놓쳤을 거에요 6 may have p p 했었을 거에요 과거의 불확실한 추측예 Jack might have missed the chance 5 might have p 7 cannot have p p 했을 리 없어요 과거의 부정적 추측예 He cannot have played the song then  그는 그 시험을 통과했을 지도 몰라요 p 이었을지도 몰라요 과거의 추측예 He may have passed the exam 1 may well   하는 것이 당연해요예 He may well like it  그가 그것을 좋아하는 것은 당연해요 3 조동사 응용표현유사표현설명 조동사가 다른 단어들과 합쳐져서 새로운 뜻을 가진 표현이 될 수 있어요  그가 그때 그 노래를 연주했을 리 없어요 3 may as A well B  B봐요 A가 나아요예 You may as well stay here as go with them  너는 그들과 가는 것봐요 이 곳에 머무는 것이 더 나아요  너는 차라리 그것을 준비하는 것이 나아요 2 may as well  차라리 이 나아요예 You may as well prepare for it 5 would like d like  하고 싶어요예 I would like to join the team  나는 그 팀에 합류하고 싶어요  우리는 그에게 아무리 고마워해도 지나치지 않아요 4 cannot  too   아무리 해도 지나치지 않다예 We cannot thank him too much 7 have to  해야 해요예 They have to come back by 9 pm  그들은 9시까지 돌아와야 해요  그는 아주 뚱뚱해요 6 use to 동사원형  하곤 했어요 이었어요 과거상태 습관예 He used to be very fat  너는 사과해야 해요 9 Had better  동사원형 하는 게 좋아요 예 You ought to apologize 8 ought to  하는 게 좋겠다 해야 해요 일 거에요 10 Would rather  동사원형  than  봐요 하는 것이 더 좋아요 예 I would rather play soccer than basketball  너는 지금 가는 것이 좋을 거에요 권고예 You had better go now  우리는 울지 않을 수 없어요 12 Might want to 동사원형 하는 게 나을 듯 해요예 You might want to participate in the project 11 Cannot help Ving cannot help but 동사원형 하지 않을 수 없어요예 We cannot help crying  나는 농구봐요 축구를 하는 것이 좋아요 p 할 필요가 없었어요 그런데 했어요예 They need not have done that  그들은 그것을 할 필요가 없었어요 13 neednt have p  너는 이 프로젝트에 참여하는 것이 나을 듯 해요  개념의 이해can 할 수 있어요을 미래형으로 바꾸면 어떻게 될까 will can이라고 하면 될까 조동사는 중복되지 못하기 때문에 이러한 표현은 쓸 수 없어요 대신 두 조동사 중 하나를 그 조동사와 같은 의미의 표현으로 바꾸어 주면 되요 아래 개념의 이해를 보며 이해해보자 4 조동사의 중복설명 조동사는 연속해서 사용할 수 없기 때문에 한 문장에 조동사 2개 의미를 부여하고 싶을 때는 한 조동사를 조동사가 아니지만 조동사의 의미를 갖고 있는 표현으로 바꾸어 주어서 표현할 수 있어요 1 Will must gt will have to 해야 할 거에요예 I will have to do that  나는 그것을 해야 할 거에요 의미는 를 할 수 있을 거에요가 되요 예 will can gt will be able to Ocan과 be able to 모두 할 수 있어요라는 뜻이므로 will be able to로 will can을 표현할 수 있어요 3 Would must gt would have to 해야 할 거에요예 I would have to stay here  나는 이곳에 머물러야 할 거에요  그녀는 너를 떠나야 할 지 몰라요 2 May must gt may have to 해야 할 지 몰라요예 She may have to leave you 5 Will can gt will be able to 할 수 있을 거에요예 He will be able to play the piano  그는 피아노를 칠 수 있을 거에요  너는 레슨을 지금 시작해야 할 거에요 4 Might must gt might have to 해야 할 거에요예 You might have to start the lesson now 7 Might can gt might be able to 할 수 있을 거에요예 He might be able to come back  그는 돌아올 수 있을 거에요  그 작가는 아마도 회의에 올 수 있을 거에요 6 May can gt may be able to 아마도 할 수 있을 거에요예 The author may be able to come to the meeting 9 Must can gt must be able to 확실히 할 수 있을 거에요예 Joan must be able to save us  Joan은 확실히 우리를 구할 수 있을 거에요  우리는 그것을 할 수 있을 거에요 8 Should can gt should be able to 할 수 있을 거에요예 We should be able to do that 할 거에요 can과 같음현재May일지도 몰라요현재Might일지도 몰라요 may 봐요 약함현재Will할 거에요 미래 행동에 대한 의지 미래 추측미래Shall할 거에요 미래 행동에 대한 강한 의지 미래 추측미래Would할 거에요 현재의 소망 과거에 하곤 했어요현재 과거Should하는 게 좋겠다 할 거에요 충고 권유현재Must해야 해요 임에 틀림없어요 의무 명령현재 lt조동사 have p 조동사 종합 정리 lt기본 조동사gt 기본 조동사의미시제Can할 수 있어요 할 거에요현재Could할 수 있어요  위에서 볼 수 있듯이 조동사의 중복은 주로 Must와 Can이 다른 조동사들과 함께 사용될 때 일어난다 p했었을 수도 있었어요 가능성 능력과거would have p p했었을 거에요 의도 계획과거should have p p의미시제could have p pgt 조동사 have p p했었을 거에요 불확실 추측과거may have p p이었을지도 몰라요 추측과거cannot have p p틀림없이 했었을 거에요 확실 추측과거might have p p했었어야 했어요 의무과거must have p lt조동사 응용표현유사표현gt 조동사 응용표현 유사표현의미시제may well 하는 것이 당연해요현재may as well차라리 이 나아요현재may as A well BB봐요 A가 나아요현재cannot  too 아무리 해도 지나치지 않다현재would like d like하고 싶어요현재use to 동사원형하곤 했어요 이었어요 과거상태 습관과거have to해야 해요현재ought to하는 게 좋겠다 해야 해요 일 거에요 현재may be able to할 수 있을 지도 모르겠어요현재had better  동사원형하는 게 좋아요 p로 표현되요 p했을 리 없어요 과거 부정 추측과거  시제를 보면 알 수 있듯이 조동사의 과거는 대부분 조동사 have p p할 필요가 없었어요 그런데 했어요과거 lt조동사 중첩을 피한 표현gt 종류중복 조동사와 형태의미시제 Must와 중복Will must gt will have to해야 할 거에요미래May must gt may have to해야 할 지 몰라요현재Would must gt would have to해야 할 거에요현재Might must gt might have to꼭 해야 할 거에요현재 Can과 중복Will can gt will be able to할 수 있을 거에요미래May can gt may be able to아마도 할 수 있을 거에요현재Might can gt might be able to할 수 있을 거에요현재Should can gt should be able to할 수 있을 거에요현재Must can gt must be able to확실히 할 수 있을 거에요현재 현재cannot help Ving cannot help but 동사원형하지 않을 수 없어요현재might want to 동사원형하는 게 낳을 듯 해요현재neednt have p 권고현재would rather  동사원형  than 봐요 하는 것이 더 좋아요 50m  NAVER Corp AAFC 시흥플랑드르 경기도 시흥시 장현능곡로 155 3층 5층 AAFC 시흥 풋살파크
